;BI7DR;CPI;GDP;SGRIDR;UNEMP;USDIDR;BI7DR_lag_1M;BI7DR_lag_3M;BI7DR_lag_6M;BI7DR_lag_12M;BI7DR_delta_1Q;BI7DR_delta_2Q;BI7DR_delta_3Q;BI7DR_delta_4Q;BI7DR_growth_1Q;BI7DR_growth_2Q;BI7DR_growth_3Q;BI7DR_growth_4Q;BI7DR_delta_1Q_1M;BI7DR_delta_2Q_1M;BI7DR_delta_3Q_1M;BI7DR_delta_4Q_1M;BI7DR_growth_1Q_1M;BI7DR_growth_2Q_1M;BI7DR_growth_3Q_1M;BI7DR_growth_4Q_1M;BI7DR_delta_1Q_3M;BI7DR_delta_2Q_3M;BI7DR_delta_3Q_3M;BI7DR_delta_4Q_3M;BI7DR_growth_1Q_3M;BI7DR_growth_2Q_3M;BI7DR_growth_3Q_3M;BI7DR_growth_4Q_3M;BI7DR_delta_1Q_6M;BI7DR_delta_2Q_6M;BI7DR_delta_3Q_6M;BI7DR_delta_4Q_6M;BI7DR_growth_1Q_6M;BI7DR_growth_2Q_6M;BI7DR_growth_3Q_6M;BI7DR_growth_4Q_6M;BI7DR_delta_1Q_12M;BI7DR_delta_2Q_12M;BI7DR_delta_3Q_12M;BI7DR_delta_4Q_12M;BI7DR_growth_1Q_12M;BI7DR_growth_2Q_12M;BI7DR_growth_3Q_12M;BI7DR_growth_4Q_12M;CPI_lag_1M;CPI_lag_3M;CPI_lag_6M;CPI_lag_12M;CPI_delta_1Q;CPI_delta_2Q;CPI_delta_3Q;CPI_delta_4Q;CPI_growth_1Q;CPI_growth_2Q;CPI_growth_3Q;CPI_growth_4Q;CPI_delta_1Q_1M;CPI_delta_2Q_1M;CPI_delta_3Q_1M;CPI_delta_4Q_1M;CPI_growth_1Q_1M;CPI_growth_2Q_1M;CPI_growth_3Q_1M;CPI_growth_4Q_1M;CPI_delta_1Q_3M;CPI_delta_2Q_3M;CPI_delta_3Q_3M;CPI_delta_4Q_3M;CPI_growth_1Q_3M;CPI_growth_2Q_3M;CPI_growth_3Q_3M;CPI_growth_4Q_3M;CPI_delta_1Q_6M;CPI_delta_2Q_6M;CPI_delta_3Q_6M;CPI_delta_4Q_6M;CPI_growth_1Q_6M;CPI_growth_2Q_6M;CPI_growth_3Q_6M;CPI_growth_4Q_6M;CPI_delta_1Q_12M;CPI_delta_2Q_12M;CPI_delta_3Q_12M;CPI_delta_4Q_12M;CPI_growth_1Q_12M;CPI_growth_2Q_12M;CPI_growth_3Q_12M;CPI_growth_4Q_12M;GDP_lag_1M;GDP_lag_3M;GDP_lag_6M;GDP_lag_12M;GDP_delta_1Q;GDP_delta_2Q;GDP_delta_3Q;GDP_delta_4Q;GDP_growth_1Q;GDP_growth_2Q;GDP_growth_3Q;GDP_growth_4Q;GDP_delta_1Q_1M;GDP_delta_2Q_1M;GDP_delta_3Q_1M;GDP_delta_4Q_1M;GDP_growth_1Q_1M;GDP_growth_2Q_1M;GDP_growth_3Q_1M;GDP_growth_4Q_1M;GDP_delta_1Q_3M;GDP_delta_2Q_3M;GDP_delta_3Q_3M;GDP_delta_4Q_3M;GDP_growth_1Q_3M;GDP_growth_2Q_3M;GDP_growth_3Q_3M;GDP_growth_4Q_3M;GDP_delta_1Q_6M;GDP_delta_2Q_6M;GDP_delta_3Q_6M;GDP_delta_4Q_6M;GDP_growth_1Q_6M;GDP_growth_2Q_6M;GDP_growth_3Q_6M;GDP_growth_4Q_6M;GDP_delta_1Q_12M;GDP_delta_2Q_12M;GDP_delta_3Q_12M;GDP_delta_4Q_12M;GDP_growth_1Q_12M;GDP_growth_2Q_12M;GDP_growth_3Q_12M;GDP_growth_4Q_12M;SGRIDR_lag_1M;SGRIDR_lag_3M;SGRIDR_lag_6M;SGRIDR_lag_12M;SGRIDR_delta_1Q;SGRIDR_delta_2Q;SGRIDR_delta_3Q;SGRIDR_delta_4Q;SGRIDR_growth_1Q;SGRIDR_growth_2Q;SGRIDR_growth_3Q;SGRIDR_growth_4Q;SGRIDR_delta_1Q_1M;SGRIDR_delta_2Q_1M;SGRIDR_delta_3Q_1M;SGRIDR_delta_4Q_1M;SGRIDR_growth_1Q_1M;SGRIDR_growth_2Q_1M;SGRIDR_growth_3Q_1M;SGRIDR_growth_4Q_1M;SGRIDR_delta_1Q_3M;SGRIDR_delta_2Q_3M;SGRIDR_delta_3Q_3M;SGRIDR_delta_4Q_3M;SGRIDR_growth_1Q_3M;SGRIDR_growth_2Q_3M;SGRIDR_growth_3Q_3M;SGRIDR_growth_4Q_3M;SGRIDR_delta_1Q_6M;SGRIDR_delta_2Q_6M;SGRIDR_delta_3Q_6M;SGRIDR_delta_4Q_6M;SGRIDR_growth_1Q_6M;SGRIDR_growth_2Q_6M;SGRIDR_growth_3Q_6M;SGRIDR_growth_4Q_6M;SGRIDR_delta_1Q_12M;SGRIDR_delta_2Q_12M;SGRIDR_delta_3Q_12M;SGRIDR_delta_4Q_12M;SGRIDR_growth_1Q_12M;SGRIDR_growth_2Q_12M;SGRIDR_growth_3Q_12M;SGRIDR_growth_4Q_12M;UNEMP_lag_1M;UNEMP_lag_3M;UNEMP_lag_6M;UNEMP_lag_12M;UNEMP_delta_1Q;UNEMP_delta_2Q;UNEMP_delta_3Q;UNEMP_delta_4Q;UNEMP_growth_1Q;UNEMP_growth_2Q;UNEMP_growth_3Q;UNEMP_growth_4Q;UNEMP_delta_1Q_1M;UNEMP_delta_2Q_1M;UNEMP_delta_3Q_1M;UNEMP_delta_4Q_1M;UNEMP_growth_1Q_1M;UNEMP_growth_2Q_1M;UNEMP_growth_3Q_1M;UNEMP_growth_4Q_1M;UNEMP_delta_1Q_3M;UNEMP_delta_2Q_3M;UNEMP_delta_3Q_3M;UNEMP_delta_4Q_3M;UNEMP_growth_1Q_3M;UNEMP_growth_2Q_3M;UNEMP_growth_3Q_3M;UNEMP_growth_4Q_3M;UNEMP_delta_1Q_6M;UNEMP_delta_2Q_6M;UNEMP_delta_3Q_6M;UNEMP_delta_4Q_6M;UNEMP_growth_1Q_6M;UNEMP_growth_2Q_6M;UNEMP_growth_3Q_6M;UNEMP_growth_4Q_6M;UNEMP_delta_1Q_12M;UNEMP_delta_2Q_12M;UNEMP_delta_3Q_12M;UNEMP_delta_4Q_12M;UNEMP_growth_1Q_12M;UNEMP_growth_2Q_12M;UNEMP_growth_3Q_12M;UNEMP_growth_4Q_12M;USDIDR_lag_1M;USDIDR_lag_3M;USDIDR_lag_6M;USDIDR_lag_12M;USDIDR_delta_1Q;USDIDR_delta_2Q;USDIDR_delta_3Q;USDIDR_delta_4Q;USDIDR_growth_1Q;USDIDR_growth_2Q;USDIDR_growth_3Q;USDIDR_growth_4Q;USDIDR_delta_1Q_1M;USDIDR_delta_2Q_1M;USDIDR_delta_3Q_1M;USDIDR_delta_4Q_1M;USDIDR_growth_1Q_1M;USDIDR_growth_2Q_1M;USDIDR_growth_3Q_1M;USDIDR_growth_4Q_1M;USDIDR_delta_1Q_3M;USDIDR_delta_2Q_3M;USDIDR_delta_3Q_3M;USDIDR_delta_4Q_3M;USDIDR_growth_1Q_3M;USDIDR_growth_2Q_3M;USDIDR_growth_3Q_3M;USDIDR_growth_4Q_3M;USDIDR_delta_1Q_6M;USDIDR_delta_2Q_6M;USDIDR_delta_3Q_6M;USDIDR_delta_4Q_6M;USDIDR_growth_1Q_6M;USDIDR_growth_2Q_6M;USDIDR_growth_3Q_6M;USDIDR_growth_4Q_6M;USDIDR_delta_1Q_12M;USDIDR_delta_2Q_12M;USDIDR_delta_3Q_12M;USDIDR_delta_4Q_12M;USDIDR_growth_1Q_12M;USDIDR_growth_2Q_12M;USDIDR_growth_3Q_12M;USDIDR_growth_4Q_12M
31/12/2005;;17.01;05.11;5852.29.00;10.976.666.666.666.600;9697.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.04;09.01;07.42;06.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.533.333.333.333.300;0,266666667;0,26875;07.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5927.22.00;6087.48.00;5790.06.00;5680.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.24;11.022.222.222.222.200;10.695.555.555.555.500;10.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10025.0;10300.0;9760.00.00;9270.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2006;;17.03;5.116.666.666.666.660;5777.36.00;10.713.333.333.333.300;9370.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.01;0,770138889;0,35;07.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.11;5.596.666.666.666.660;0,268055556;0,302777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5852.29.00;5977.27.00;5.969.655.000.000.000;5593.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.976.666.666.666.600;11.131.111.111.111.100;10.804.444.444.444.400;10.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9697.05.00;10123.0;10030.0;9161.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2006;;17.09;5.123.333.333.333.330;5660.35.00;10.45;9183.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.03;18.04;08.03;07.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.116.666.666.666.660;53.533.333.333.333.300;0,267361111;06.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5777.36.00;5927.22.00;6149.25.00;5717.09.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.713.333.333.333.300;11.24;10.913.333.333.333.300;10.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9370.00.00;10025.0;10300.0;9285.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2006;;0,676388889;05.13;5612.98;10.421.666.666.666.600;9070.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.09;17.01;09.01;0,389583333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.123.333.333.333.330;05.11;0,266666667;0,275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5660.35.00;5852.29.00;6087.48.00;5734.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.45;10.976.666.666.666.600;11.022.222.222.222.200;10.368.888.888.888.800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9183.00.00;9697.05.00;10300.0;9465.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2006;;15.04;50.633.333.333.333.300;5.735.475;10.393.333.333.333.300;9162.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,676388889;17.03;0,770138889;08.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.13;5.116.666.666.666.660;5.596.666.666.666.660;0,272916667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5612.98;5777.36.00;5977.27.00;5.723.175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.421.666.666.666.600;10.713.333.333.333.300;11.131.111.111.111.100;10.477.777.777.777.700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9070.00.00;9370.00.00;10123.0;9491.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2006;;15.06;4.996.666.666.666.660;5857.97;10.364.999.999.999.900;9255.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.04;17.09;18.04;07.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.633.333.333.333.300;5.123.333.333.333.330;53.533.333.333.333.300;05.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.735.475;5660.35.00;5927.22.00;5711.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.393.333.333.333.300;10.45;11.24;10.586.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9162.05.00;9183.00.00;10025.0;9518.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2006;;15.53;0,23125;5852.29.00;10.336.666.666.666.600;9263.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.06;0,676388889;17.01;07.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.996.666.666.666.660;05.13;05.11;0,26875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5857.97;5612.98;5852.29.00;5790.06.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.364.999.999.999.900;10.421.666.666.666.600;10.976.666.666.666.600;10.695.555.555.555.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9255.00.00;9070.00.00;9697.05.00;9760.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2006;;15.15;05.24;5743.42.00;10.308.333.333.333.300;9073.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.53;15.04;17.03;0,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,23125;50.633.333.333.333.300;5.116.666.666.666.660;0,268055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5852.29.00;5.735.475;5777.36.00;5.969.655.000.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.336.666.666.666.600;10.393.333.333.333.300;10.713.333.333.333.300;10.804.444.444.444.400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9263.00.00;9162.05.00;9370.00.00;10030.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2006;;14.09;05.55;5770.68;10.28;9111.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.15;15.06;17.09;08.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.24;4.996.666.666.666.660;5.123.333.333.333.330;0,267361111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5743.42.00;5857.97;5660.35.00;6149.25.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.308.333.333.333.300;10.364.999.999.999.900;10.45;10.913.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9073.00.00;9255.00.00;9183.00.00;10300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2006;;14.55;0,268055556;5.807.110.000.000.000;10.191.666.666.666.600;9113.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.09;15.53;0,676388889;09.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.55;0,23125;05.13;0,266666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5770.68;5852.29.00;5612.98;6087.48.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.28;10.336.666.666.666.600;10.421.666.666.666.600;11.022.222.222.222.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9111.00.00;9263.00.00;9070.00.00;10300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2006;;06.29;5.926.666.666.666.660;5843.54.00;10.103.333.333.333.300;9115.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.55;15.15;15.04;0,770138889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,268055556;05.24;50.633.333.333.333.300;5.596.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.807.110.000.000.000;5743.42.00;5.735.475;5977.27.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.191.666.666.666.600;10.308.333.333.333.300;10.393.333.333.333.300;11.131.111.111.111.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9113.00.00;9073.00.00;9162.05.00;10123.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2006;;05.27;5.993.333.333.333.330;5948.99;10.015;9169.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.29;14.09;15.06;18.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.926.666.666.666.660;05.55;4.996.666.666.666.660;53.533.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5843.54.00;5770.68;5857.97;5927.22.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.103.333.333.333.300;10.28;10.364.999.999.999.900;11.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9115.00.00;9111.00.00;9255.00.00;10025.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2006;;06.06;06.06;5.935.475;9.926.666.666.666.660;9133.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.27;14.55;15.53;17.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.993.333.333.333.330;0,268055556;0,23125;05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5948.99;5.807.110.000.000.000;5852.29.00;5852.29.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.015;10.191.666.666.666.600;10.336.666.666.666.600;10.976.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9169.00.00;9113.00.00;9263.00.00;9697.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2007;;06.26;06.06;5921.96;9.838.333.333.333.330;9097.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;06.29;15.15;17.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;5.926.666.666.666.660;05.24;5.116.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.935.475;5843.54.00;5743.42.00;5777.36.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.926.666.666.666.660;10.103.333.333.333.300;10.308.333.333.333.300;10.713.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9133.00.00;9115.00.00;9073.00.00;9370.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2007;;06.03;06.06;5974.81;0,427083333;9153.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.26;05.27;14.09;17.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;5.993.333.333.333.330;05.55;5.123.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5921.96;5948.99;5770.68;5660.35.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.838.333.333.333.330;10.015;10.28;10.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9097.00.00;9169.00.00;9111.00.00;9183.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2007;;06.52;06.06;5977.93;9.643.333.333.333.330;9119.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.03;06.06;14.55;0,676388889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;06.06;0,268055556;05.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5974.81;5.935.475;5.807.110.000.000.000;5612.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,427083333;9.926.666.666.666.660;10.191.666.666.666.600;10.421.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9153.00.00;9133.00.00;9113.00.00;9070.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2007;;06.29;6.283.333.333.333.330;5981.05.00;9.536.666.666.666.660;9085.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.52;06.26;06.29;15.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;06.06;5.926.666.666.666.660;50.633.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5977.93;5921.96;5843.54.00;5.735.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.643.333.333.333.330;9.838.333.333.333.330;10.103.333.333.333.300;10.393.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9119.00.00;9097.00.00;9115.00.00;9162.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2007;;06.01;6.506.666.666.666.660;5771.81;09.43;8835.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.29;06.03;05.27;15.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.283.333.333.333.330;06.06;5.993.333.333.333.330;4.996.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5981.05.00;5974.81;5948.99;5857.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.536.666.666.666.660;0,427083333;10.015;10.364.999.999.999.900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9085.00.00;9153.00.00;9169.00.00;9255.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2007;;0,261805556;0,300694444;5929.00.00;9.323.333.333.333.330;9012.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.01;06.52;06.06;15.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.506.666.666.666.660;06.06;06.06;0,23125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5771.81;5977.93;5.935.475;5852.29.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.43;9.643.333.333.333.330;9.926.666.666.666.660;10.336.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8835.00.00;9119.00.00;9133.00.00;9263.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2007;;06.06;6.733.333.333.333.330;6086.19.00;9.216.666.666.666.660;9189.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,261805556;06.29;06.26;15.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,300694444;6.283.333.333.333.330;06.06;05.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5929.00.00;5981.05.00;5921.96;5743.42.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.323.333.333.333.330;9.536.666.666.666.660;9.838.333.333.333.330;10.308.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9012.00.00;9085.00.00;9097.00.00;9073.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2007;;06.51;6.736.666.666.666.660;6145.33.00;09.11;9395.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.06;06.01;06.03;14.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.733.333.333.333.330;6.506.666.666.666.660;06.06;05.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6086.19.00;5771.81;5974.81;5770.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.216.666.666.666.660;09.43;0,427083333;10.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9189.00.00;8835.00.00;9153.00.00;9111.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2007;;0,315972222;0,301388889;6199.87;9.001.666.666.666.660;9247.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.51;0,261805556;06.52;14.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.736.666.666.666.660;0,300694444;06.06;0,268055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6145.33.00;5929.00.00;5977.93;5.807.110.000.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.11;9.323.333.333.333.330;9.643.333.333.333.330;10.191.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9395.00.00;9012.00.00;9119.00.00;9113.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2007;;0,311111111;06.44;6254.41.00;8.893.333.333.333.330;9099.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,315972222;06.06;06.29;06.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,301388889;6.733.333.333.333.330;6.283.333.333.333.330;5.926.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6199.87;6086.19.00;5981.05.00;5843.54.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.001.666.666.666.660;9.216.666.666.666.660;9.536.666.666.666.660;10.103.333.333.333.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9247.00.00;9189.00.00;9085.00.00;9115.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
