ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_SPL,12,25,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,18,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,24,6,1,0.321217563,0.322014492,0.321324,0.416611652,0.418603276,0.418056,3/31/2024
EC1,Digital_AKL,6,5,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,15,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,4,1,0.201996012,0.209144449,0.265128,0.233403914,0.245181759,0.295461,3/31/2024
EC1,Digital_SPL,12,8,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,4,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,12,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,16,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,12,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,8,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,3,1,0.159086291,0.165244767,0.184162,0.171109971,0.178718705,0.190837,3/31/2024
EC1,Digital_SPL,3,20,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,11,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,15,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,9,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,17,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,18,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,7,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_SPL,6,24,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,12,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,15,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,13,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,18,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,15,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,19,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,25,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,3,3,0.800934697,0.795318343,0.824931,0.802152353,0.79549879,0.828799,3/31/2024
EC1,Digital_SPL,1,25,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,26,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,2,2,0.026138885,0.027655751,0.022303,0.023277052,0.026720477,0.019048,3/31/2024
EC1,Digital_SCL,3,18,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,2,2,0.00725812,0.009166508,0.000921,0.006623213,0.008824796,0.000788,3/31/2024
EC1,Digital_SPL,1,3,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,18,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,7,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,28,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,27,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,19,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,7,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,14,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,7,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,6,3,0,0.000279018,0,0,0.000341997,0,3/31/2024
EC1,Digital_BCL,6,7,4,0,0,0,0,0,0,3/31/2024
