;USDIDR;GDP;CPI;Birepo;USDIDRgrowth;Unemployment;GDP_lag1Q;CPI_lag1Q;Birepo_lag1Q;USDIDRgrowth_lag1Q;Unemployment_lag1Q;GDP_lag2Q;CPI_lag2Q;Birepo_lag2Q;USDIDRgrowth_lag2Q;Unemployment_lag2Q;GDP_lag3Q;CPI_lag3Q;Birepo_lag3Q;USDIDRgrowth_lag3Q;Unemployment_lag3Q;delta_GDP;delta_CPI;delta_Birepo;delta_USDIDRgrowth;delta_Unemployment;delta_GDP_lag1Q;delta_CPI_lag1Q;delta_Birepo_lag1Q;delta_USDIDRgrowth_lag1Q;delta_Unemployment_lag1Q;delta_GDP_lag2Q;delta_CPI_lag2Q;delta_Birepo_lag2Q;delta_USDIDRgrowth_lag2Q;delta_Unemployment_lag2Q;delta_GDP_lag3Q;delta_CPI_lag3Q;delta_Birepo_lag3Q;delta_USDIDRgrowth_lag3Q;delta_Unemployment_lag3Q
Unemployment_lag3Q;-0,09757415146618525;0,12593819692454433;-0,15890332675092056;-0,3964053896186094;-0,2789123419947758;0,31905343762368915;-0,1502651509717497;-0,2605092323013141;-0,39745766048440173;-0,0922525994719533;0,34299602222878023;-0,4313337330863191;-0,28859479318044573;-0,4525501235335279;-0,008681617604582432;0,6686393263364037;-0,6289358856144072;-0,24525379155567187;-0,4446376085711596;0,12658324046877928;1,0;0,4707230475628129;0,052326710032791574;0,0682546569560991;-0,1960501009613928;-0,2960626050515924;0,22402619668699253;-0,04909149041211976;-0,04968862616048742;-0,01141582164793522;0,011061800414090215;-0,007904093554561273;-0,13164037384664537;-0,263860971730347;0,08930561027988902;0,3034153416143561;-0,19196529132252096;-0,13252912764550726;-0,40986581336631867;0,14625848525224436;0,6009024850474243
delta_GDP;-0,059435222193017376;0,7455960243988522;-0,008797103858744137;-0,12503936620899972;-0,155743528649769;-0,18991127085812384;0,3578547583466529;-0,132321796546855;-0,16151123221317176;-0,227540059811106;-0,007188215213937825;0,0024046613409131772;-0,1993436979740458;-0,18383365348697506;-0,054410045839378154;0,22329757838099712;-0,3539880981861797;-0,25296108133441386;-0,2009898811427683;0,08037018812991265;0,4707230475628129;1,0;0,15881377979120942;0,10997172580501362;-0,14167600788910276;-0,7282042266813331;0,583654879060243;0,01477033987015315;0,05816535766245451;-0,2024696893733291;-0,4468856605325941;0,2602706655799538;-0,08648641336364735;0,0043059403088934484;0,060314026462819526;-0,09907095718553202;-0,09310403416366993;-0,20700439058027345;-0,08802866565664723;0,2437026267355048;0,25520959552037875
delta_CPI;0,2564330868444808;0,17774078735347518;0,5204463802004695;0,04739289599507266;0,21874610567021713;-0,05324668076185818;0,22702052280325402;0,11492565722894209;0,12316284750764409;-0,09395942539506424;-0,10285473860367435;0,14527002480883675;-0,27797915193037104;0,23515141589081914;-0,34014093119864697;-0,03375105437578516;0,05615819376799758;-0,5998330153298411;0,2595750330807798;-0,5215515328640611;0,052326710032791574;0,15881377979120942;1,0;-0,23865032325245647;0,4438546957163716;-0,23986421073604858;0,2874542351915489;0,6956488990865429;-0,15147813681516;0,2106874547838159;-0,32365575445799666;0,33247777659978867;0,3292024189051622;-0,021449068795943424;-0,02451608155358069;-0,3147427856259216;0,3791214119345409;-0,0653264325431355;0,028050821395952098;-0,21091477649134444;-0,2619746466563686
delta_Birepo;-0,21220483073593116;0,39493039509242894;0,3437929977798507;0,385510213051135;-0,10806849912083828;-0,3832009068239393;0,3821903926385666;0,3698509172696238;0,01365447309117119;0,04866908624255579;-0,2537054354858352;0,3437320323264175;0,3702630514169954;-0,28937223962850955;0,249351413208044;-0,042368236909937365;0,29594243277140814;0,47334225826961945;-0,5487139163159599;0,5113505328034786;0,0682546569560991;0,10997172580501362;-0,23865032325245647;1,0;-0,40827124763309997;-0,42819810099204003;0,14379289513478716;-0,2196034375926925;0,7218521763792318;-0,29280566677195957;-0,41112040444025694;0,14156537154921206;-0,18712274297618373;0,41107347502804814;-0,027910100932084955;-0,255438290559896;0,15534680478545626;0,1006861592511266;0,10060572991290816;0,3140098976902483;-0,18818311553438394
delta_USDIDRgrowth;0,3648791096624192;-0,1336844839668065;0,1604598637555324;-0,08355908947826905;0,8115764153070203;0,11696524936511532;-0,11996460261698105;0,13367206770809506;-0,0590781880875885;0,28406254332072645;0,09229648514947869;0,005514087922616132;-0,04008875586993266;0,1604360255010537;-0,11867848188137586;-0,02364162189607069;0,1475646441491398;-0,24687140467799884;0,29746969578624655;-0,46536888729397946;-0,1960501009613928;-0,14167600788910276;0,4438546957163716;-0,40827124763309997;1,0;0,26272658460861154;-0,08183125322304141;0,5431052388711427;-0,47246382625504585;0,5058283649848156;0,10073698531390765;0,0744054827874732;0,37192662447209124;-0,24712283344081043;0,1286724990218165;-0,055233673605847876;0,2587184796191163;0,15757771943402824;-0,05939107606684959;-0,24932537943169017;-0,2957004774933747
delta_Unemployment;0,0980409373123837;-0,8703882502176399;-0,3924648779704015;-0,1288879185429258;0,2194089755143647;0,5854774116088874;-0,6336861747936956;-0,21529425459561305;0,016056319202945608;0,14281288093836786;0,2961186265238621;-0,3152510286112541;-0,08460826552868157;0,13714350260749875;-0,08036529249613662;0,002549128669161256;-0,02017961625573133;0,00970995737409697;0,29239254919437857;-0,17333221772685634;-0,2960626050515924;-0,7282042266813331;-0,23986421073604858;-0,42819810099204003;0,26272658460861154;1,0;-0,6013896044833615;-0,12105912900818928;-0,3620688490254732;0,15806595323040787;0,6796291920122544;-0,396569422086946;-0,06060163167587939;-0,2729162407620643;-0,12665321109780203;0,3871146030744763;-0,20325180016809916;-0,0031352820927036226;-0,09265578538190998;-0,3005935867759138;0,13076707016681505
delta_GDP_lag1Q;-0,016146056368395556;0,5138747503973577;0,15187853058283776;-0,053686100949299605;-0,06031785147600331;-0,2284903042890761;0,7455002699128414;-0,010908298045060055;-0,10444484163988565;-0,13998629225019138;-0,18562511764154505;0,35759056061847927;-0,11901324844593433;-0,14316452123074444;-0,20659493226716144;-0,00750962373875602;0,0016427190381386703;-0,18667915916679612;-0,1679822958376291;-0,053436038982875134;0,22402619668699253;0,583654879060243;0,2874542351915489;0,14379289513478716;-0,08183125322304141;-0,6013896044833615;1,0;0,15897549939303615;0,10676830764152348;-0,13925164586021846;-0,7048134614408635;0,5835422514394041;0,014034587197591639;0,05878590437275626;-0,20042493888145552;-0,44712841430468225;0,26042114760077495;-0,086559977204683;0,0022154569962970746;0,06202975975211032;-0,09989098255875255
delta_CPI_lag1Q;0,3316753487681384;0,09986288645662311;0,49223295067992334;0,012846008176495768;0,37937654261527504;-0,08041596421964854;0,19367423902135952;0,5229623023940506;0,01703867500356799;0,2722672567260971;-0,09449929613928552;0,24408635476193338;0,1421210731240959;0,09571472477446616;-0,06491746522732843;-0,11717699522290258;0,16150220311535352;-0,22933760687432597;0,203961919512251;-0,29223765091926834;-0,04909149041211976;0,01477033987015315;0,6956488990865429;-0,2196034375926925;0,5431052388711427;-0,12105912900818928;0,15897549939303615;1,0;-0,25351470643786284;0,4600033714574987;-0,2135091163872537;0,28724960049363;0,6632705230210081;-0,15513430057916766;0,16501864713825107;-0,32277283366647624;0,32541264001886505;0,29490779345445023;-0,005324179762885331;-0,03551956989303299;-0,33169486805734777
delta_Birepo_lag1Q;-0,24506636465571285;0,37735292805146514;0,3505495232283118;0,3810213145271616;-0,2836404990924659;-0,4272249844296218;0,39198864602885136;0,28292847832445495;0,3743216884102467;-0,12090289462226375;-0,41251293593228766;0,38195430476391345;0,2866144963541436;0,04849097697343719;0,01292134711653718;-0,26162627416157863;0,34265894711429445;0,3138352065363676;-0,23571903811254868;0,2157017627986886;-0,04968862616048742;0,05816535766245451;-0,15147813681516;0,7218521763792318;-0,47246382625504585;-0,3620688490254732;0,10676830764152348;-0,25351470643786284;1,0;-0,4107142103963042;-0,48790603590255044;0,14422595241281513;-0,24202763227770155;0,7243945721086604;-0,3043955774626544;-0,4138271588836852;0,14090494190517855;-0,19729071504758577;0,42102762760756374;-0,02468477827869264;-0,26269859876845286
delta_USDIDRgrowth_lag1Q;0,21422338259994358;-0,1424626277808611;0,16941654513859425;-0,16362889710280618;0,4427093047946946;0,04271783406031392;-0,1232630190538496;0,23143759721156196;-0,18760942002679698;0,8007042188005684;0,1653285454510947;-0,10912460102221726;0,22265320137241154;-0,15435894723504112;0,34172107290728226;0,10299577441243897;0,014848157488617765;0,05045091565126383;0,0542806513559862;-0,03943870423512533;-0,01141582164793522;-0,2024696893733291;0,2106874547838159;-0,29280566677195957;0,5058283649848156;0,15806595323040787;-0,13925164586021846;0,4600033714574987;-0,4107142103963042;1,0;0,29485978084800507;-0,08183898209148778;0,5772466836937745;-0,47389238619253793;0,5128669887158023;0,10807486149918549;0,07037307643417896;0,36943490177084704;-0,2565719336598504;0,11302527808749059;-0,04464989560654871
