scenario,product,tenor,period,bucket
BASE,Digital_AKL,2,13,1
BASE,Digital_AKL,2,13,2
BASE,Digital_AKL,2,13,3
BASE,Digital_AKL,2,13,4
BASE,Digital_AKL,2,13,5
BASE,Digital_AKL,2,14,1
BASE,Digital_AKL,2,14,2
BASE,Digital_AKL,2,14,3
BASE,Digital_AKL,2,14,4
BASE,Digital_AKL,2,14,5
BASE,Digital_AKL,2,15,1
BASE,Digital_AKL,2,15,2
BASE,Digital_AKL,2,15,3
BASE,Digital_AKL,2,15,4
BASE,Digital_AKL,2,15,5
BASE,Digital_AKL,2,16,1
BASE,Digital_AKL,2,16,2
BASE,Digital_AKL,2,16,3
BASE,Digital_AKL,2,16,4
BASE,Digital_AKL,2,16,5
BASE,Digital_AKL,2,17,1
BASE,Digital_AKL,2,17,2
BASE,Digital_AKL,2,17,3
BASE,Digital_AKL,2,17,4
BASE,Digital_AKL,2,17,5
BASE,Digital_AKL,2,18,1
BASE,Digital_AKL,2,18,2
BASE,Digital_AKL,2,18,3
BASE,Digital_AKL,2,18,4
BASE,Digital_AKL,2,18,5
BASE,Digital_AKL,2,19,1
BASE,Digital_AKL,2,19,2
BASE,Digital_AKL,2,19,3
BASE,Digital_AKL,2,19,4
BASE,Digital_AKL,2,19,5
BASE,Digital_AKL,2,20,1
BASE,Digital_AKL,2,20,2
BASE,Digital_AKL,2,20,3
BASE,Digital_AKL,2,20,4
BASE,Digital_AKL,2,20,5
BASE,Digital_AKL,2,21,1
BASE,Digital_AKL,2,21,2
BASE,Digital_AKL,2,21,3
BASE,Digital_AKL,2,21,4
BASE,Digital_AKL,2,21,5
BASE,Digital_AKL,2,22,1
BASE,Digital_AKL,2,22,2
BASE,Digital_AKL,2,22,3
BASE,Digital_AKL,2,22,4
BASE,Digital_AKL,2,22,5
BASE,Digital_AKL,2,23,1
BASE,Digital_AKL,2,23,2
BASE,Digital_AKL,2,23,3
BASE,Digital_AKL,2,23,4
BASE,Digital_AKL,2,23,5
BASE,Digital_AKL,2,24,1
BASE,Digital_AKL,2,24,2
BASE,Digital_AKL,2,24,3
BASE,Digital_AKL,2,24,4
BASE,Digital_AKL,2,24,5
BASE,Digital_AKL,2,25,1
BASE,Digital_AKL,2,25,2
BASE,Digital_AKL,2,25,3
BASE,Digital_AKL,2,25,4
BASE,Digital_AKL,2,25,5
BASE,Digital_AKL,2,26,1
BASE,Digital_AKL,2,26,2
BASE,Digital_AKL,2,26,3
BASE,Digital_AKL,2,26,4
BASE,Digital_AKL,2,26,5
BASE,Digital_AKL,2,27,1
BASE,Digital_AKL,2,27,2
BASE,Digital_AKL,2,27,3
BASE,Digital_AKL,2,27,4
BASE,Digital_AKL,2,27,5
BASE,Digital_AKL,2,28,1
BASE,Digital_AKL,2,28,2
BASE,Digital_AKL,2,28,3
BASE,Digital_AKL,2,28,4
BASE,Digital_AKL,2,28,5
BASE,Digital_AKL,2,29,1
BASE,Digital_AKL,2,29,2
BASE,Digital_AKL,2,29,3
BASE,Digital_AKL,2,29,4
BASE,Digital_AKL,2,29,5
BASE,Digital_AKL,2,30,1
BASE,Digital_AKL,2,30,2
BASE,Digital_AKL,2,30,3
BASE,Digital_AKL,2,30,4
BASE,Digital_AKL,2,30,5
BASE,Digital_AKL,2,31,1
BASE,Digital_AKL,2,31,2
BASE,Digital_AKL,2,31,3
BASE,Digital_AKL,2,31,4
BASE,Digital_AKL,2,31,5
BASE,Digital_AKL,2,32,1
BASE,Digital_AKL,2,32,2
BASE,Digital_AKL,2,32,3
BASE,Digital_AKL,2,32,4
BASE,Digital_AKL,2,32,5
BASE,Digital_AKL,2,33,1
BASE,Digital_AKL,2,33,2
BASE,Digital_AKL,2,33,3
BASE,Digital_AKL,2,33,4
BASE,Digital_AKL,2,33,5
BASE,Digital_AKL,2,34,1
BASE,Digital_AKL,2,34,2
BASE,Digital_AKL,2,34,3
BASE,Digital_AKL,2,34,4
BASE,Digital_AKL,2,34,5
BASE,Digital_AKL,2,35,1
BASE,Digital_AKL,2,35,2
BASE,Digital_AKL,2,35,3
BASE,Digital_AKL,2,35,4
BASE,Digital_AKL,2,35,5
BASE,Digital_AKL,2,36,1
BASE,Digital_AKL,2,36,2
BASE,Digital_AKL,2,36,3
BASE,Digital_AKL,2,36,4
BASE,Digital_AKL,2,36,5
BASE,Digital_AKL,3,1,1
BASE,Digital_AKL,3,1,2
BASE,Digital_AKL,3,1,3
BASE,Digital_AKL,3,1,4
BASE,Digital_AKL,3,1,5
BASE,Digital_AKL,3,2,1
BASE,Digital_AKL,3,2,2
BASE,Digital_AKL,3,2,3
BASE,Digital_AKL,3,2,4
BASE,Digital_AKL,3,2,5
BASE,Digital_AKL,3,3,1
BASE,Digital_AKL,3,3,2
BASE,Digital_AKL,3,3,3
BASE,Digital_AKL,3,3,4
BASE,Digital_AKL,3,3,5
BASE,Digital_AKL,3,4,1
BASE,Digital_AKL,3,4,2
BASE,Digital_AKL,3,4,3
BASE,Digital_AKL,3,4,4
BASE,Digital_AKL,3,4,5
BASE,Digital_AKL,3,5,1
BASE,Digital_AKL,3,5,2
BASE,Digital_AKL,3,5,3
BASE,Digital_AKL,3,5,4
BASE,Digital_AKL,3,5,5
BASE,Digital_AKL,3,6,1
BASE,Digital_AKL,3,6,2
BASE,Digital_AKL,3,6,3
BASE,Digital_AKL,3,6,4
BASE,Digital_AKL,3,6,5
BASE,Digital_AKL,3,7,1
BASE,Digital_AKL,3,7,2
BASE,Digital_AKL,3,7,3
BASE,Digital_AKL,3,7,4
BASE,Digital_AKL,3,7,5
BASE,Digital_AKL,3,8,1
BASE,Digital_AKL,3,8,2
BASE,Digital_AKL,3,8,3
BASE,Digital_AKL,3,8,4
BASE,Digital_AKL,3,8,5
BASE,Digital_AKL,3,9,1
BASE,Digital_AKL,3,9,2
BASE,Digital_AKL,3,9,3
BASE,Digital_AKL,3,9,4
BASE,Digital_AKL,3,9,5
BASE,Digital_AKL,3,10,1
BASE,Digital_AKL,3,10,2
BASE,Digital_AKL,3,10,3
BASE,Digital_AKL,3,10,4
BASE,Digital_AKL,3,10,5
BASE,Digital_AKL,3,11,1
BASE,Digital_AKL,3,11,2
BASE,Digital_AKL,3,11,3
BASE,Digital_AKL,3,11,4
BASE,Digital_AKL,3,11,5
BASE,Digital_AKL,3,12,1
BASE,Digital_AKL,3,12,2
BASE,Digital_AKL,3,12,3
BASE,Digital_AKL,3,12,4
BASE,Digital_AKL,3,12,5
BASE,Digital_AKL,3,13,1
BASE,Digital_AKL,3,13,2
BASE,Digital_AKL,3,13,3
BASE,Digital_AKL,3,13,4
BASE,Digital_AKL,3,13,5
BASE,Digital_AKL,3,14,1
BASE,Digital_AKL,3,14,2
BASE,Digital_AKL,3,14,3
BASE,Digital_AKL,3,14,4
BASE,Digital_AKL,3,14,5
BASE,Digital_AKL,3,15,1
BASE,Digital_AKL,3,15,2
BASE,Digital_AKL,3,15,3
BASE,Digital_AKL,3,15,4
BASE,Digital_AKL,3,15,5
BASE,Digital_AKL,3,16,1
BASE,Digital_AKL,3,16,2
BASE,Digital_AKL,3,16,3
BASE,Digital_AKL,3,16,4
BASE,Digital_AKL,3,16,5
BASE,Digital_AKL,3,17,1
BASE,Digital_AKL,3,17,2
BASE,Digital_AKL,3,17,3
BASE,Digital_AKL,3,17,4
BASE,Digital_AKL,3,17,5
BASE,Digital_AKL,3,18,1
BASE,Digital_AKL,3,18,2
BASE,Digital_AKL,3,18,3
BASE,Digital_AKL,3,18,4
BASE,Digital_AKL,3,18,5
BASE,Digital_AKL,3,19,1
BASE,Digital_AKL,3,19,2
BASE,Digital_AKL,3,19,3
BASE,Digital_AKL,3,19,4
BASE,Digital_AKL,3,19,5
BASE,Digital_AKL,3,20,1
BASE,Digital_AKL,3,20,2
BASE,Digital_AKL,3,20,3
BASE,Digital_AKL,3,20,4
BASE,Digital_AKL,3,20,5
BASE,Digital_AKL,3,21,1
BASE,Digital_AKL,3,21,2
BASE,Digital_AKL,3,21,3
BASE,Digital_AKL,3,21,4
BASE,Digital_AKL,3,21,5
BASE,Digital_AKL,3,22,1
BASE,Digital_AKL,3,22,2
BASE,Digital_AKL,3,22,3
BASE,Digital_AKL,3,22,4
BASE,Digital_AKL,3,22,5
BASE,Digital_AKL,3,23,1
BASE,Digital_AKL,3,23,2
BASE,Digital_AKL,3,23,3
BASE,Digital_AKL,3,23,4
BASE,Digital_AKL,3,23,5
BASE,Digital_AKL,3,24,1
BASE,Digital_AKL,3,24,2
BASE,Digital_AKL,3,24,3
BASE,Digital_AKL,3,24,4
BASE,Digital_AKL,3,24,5
BASE,Digital_AKL,3,25,1
BASE,Digital_AKL,3,25,2
BASE,Digital_AKL,3,25,3
BASE,Digital_AKL,3,25,4
BASE,Digital_AKL,3,25,5
BASE,Digital_AKL,3,26,1
BASE,Digital_AKL,3,26,2
BASE,Digital_AKL,3,26,3
BASE,Digital_AKL,3,26,4
BASE,Digital_AKL,3,26,5
BASE,Digital_AKL,3,27,1
BASE,Digital_AKL,3,27,2
BASE,Digital_AKL,3,27,3
BASE,Digital_AKL,3,27,4
BASE,Digital_AKL,3,27,5
BASE,Digital_AKL,3,28,1
BASE,Digital_AKL,3,28,2
BASE,Digital_AKL,3,28,3
BASE,Digital_AKL,3,28,4
BASE,Digital_AKL,3,28,5
BASE,Digital_AKL,3,29,1
BASE,Digital_AKL,3,29,2
BASE,Digital_AKL,3,29,3
BASE,Digital_AKL,3,29,4
BASE,Digital_AKL,3,29,5
BASE,Digital_AKL,3,30,1
BASE,Digital_AKL,3,30,2
BASE,Digital_AKL,3,30,3
BASE,Digital_AKL,3,30,4
BASE,Digital_AKL,3,30,5
BASE,Digital_AKL,3,31,1
BASE,Digital_AKL,3,31,2
BASE,Digital_AKL,3,31,3
BASE,Digital_AKL,3,31,4
BASE,Digital_AKL,3,31,5
BASE,Digital_AKL,3,32,1
BASE,Digital_AKL,3,32,2
BASE,Digital_AKL,3,32,3
BASE,Digital_AKL,3,32,4
BASE,Digital_AKL,3,32,5
BASE,Digital_AKL,3,33,1
BASE,Digital_AKL,3,33,2
BASE,Digital_AKL,3,33,3
BASE,Digital_AKL,3,33,4
BASE,Digital_AKL,3,33,5
BASE,Digital_AKL,3,34,1
BASE,Digital_AKL,3,34,2
BASE,Digital_AKL,3,34,3
BASE,Digital_AKL,3,34,4
BASE,Digital_AKL,3,34,5
BASE,Digital_AKL,3,35,1
