scenario,product,tenor,period,bucket
BASE,Digital_KPL,13,23,3
BASE,Digital_KPL,13,23,4
BASE,Digital_KPL,13,23,5
BASE,Digital_KPL,13,24,1
BASE,Digital_KPL,13,24,2
BASE,Digital_KPL,13,24,3
BASE,Digital_KPL,13,24,4
BASE,Digital_KPL,13,24,5
BASE,Digital_KPL,13,25,1
BASE,Digital_KPL,13,25,2
BASE,Digital_KPL,13,25,3
BASE,Digital_KPL,13,25,4
BASE,Digital_KPL,13,25,5
BASE,Digital_KPL,13,26,1
BASE,Digital_KPL,13,26,2
BASE,Digital_KPL,13,26,3
BASE,Digital_KPL,13,26,4
BASE,Digital_KPL,13,26,5
BASE,Digital_KPL,13,27,1
BASE,Digital_KPL,13,27,2
BASE,Digital_KPL,13,27,3
BASE,Digital_KPL,13,27,4
BASE,Digital_KPL,13,27,5
BASE,Digital_KPL,13,28,1
BASE,Digital_KPL,13,28,2
BASE,Digital_KPL,13,28,3
BASE,Digital_KPL,13,28,4
BASE,Digital_KPL,13,28,5
BASE,Digital_KPL,13,29,1
BASE,Digital_KPL,13,29,2
BASE,Digital_KPL,13,29,3
BASE,Digital_KPL,13,29,4
BASE,Digital_KPL,13,29,5
BASE,Digital_KPL,13,30,1
BASE,Digital_KPL,13,30,2
BASE,Digital_KPL,13,30,3
BASE,Digital_KPL,13,30,4
BASE,Digital_KPL,13,30,5
BASE,Digital_KPL,13,31,1
BASE,Digital_KPL,13,31,2
BASE,Digital_KPL,13,31,3
BASE,Digital_KPL,13,31,4
BASE,Digital_KPL,13,31,5
BASE,Digital_KPL,13,32,1
BASE,Digital_KPL,13,32,2
BASE,Digital_KPL,13,32,3
BASE,Digital_KPL,13,32,4
BASE,Digital_KPL,13,32,5
BASE,Digital_KPL,13,33,1
BASE,Digital_KPL,13,33,2
BASE,Digital_KPL,13,33,3
BASE,Digital_KPL,13,33,4
BASE,Digital_KPL,13,33,5
BASE,Digital_KPL,13,34,1
BASE,Digital_KPL,13,34,2
BASE,Digital_KPL,13,34,3
BASE,Digital_KPL,13,34,4
BASE,Digital_KPL,13,34,5
BASE,Digital_KPL,13,35,1
BASE,Digital_KPL,13,35,2
BASE,Digital_KPL,13,35,3
BASE,Digital_KPL,13,35,4
BASE,Digital_KPL,13,35,5
BASE,Digital_KPL,13,36,1
BASE,Digital_KPL,13,36,2
BASE,Digital_KPL,13,36,3
BASE,Digital_KPL,13,36,4
BASE,Digital_KPL,13,36,5
BASE,Digital_KPL,14,1,1
BASE,Digital_KPL,14,1,2
BASE,Digital_KPL,14,1,3
BASE,Digital_KPL,14,1,4
BASE,Digital_KPL,14,1,5
BASE,Digital_KPL,14,2,1
BASE,Digital_KPL,14,2,2
BASE,Digital_KPL,14,2,3
BASE,Digital_KPL,14,2,4
BASE,Digital_KPL,14,2,5
BASE,Digital_KPL,14,3,1
BASE,Digital_KPL,14,3,2
BASE,Digital_KPL,14,3,3
BASE,Digital_KPL,14,3,4
BASE,Digital_KPL,14,3,5
BASE,Digital_KPL,14,4,1
BASE,Digital_KPL,14,4,2
BASE,Digital_KPL,14,4,3
BASE,Digital_KPL,14,4,4
BASE,Digital_KPL,14,4,5
BASE,Digital_KPL,14,5,1
BASE,Digital_KPL,14,5,2
BASE,Digital_KPL,14,5,3
BASE,Digital_KPL,14,5,4
BASE,Digital_KPL,14,5,5
BASE,Digital_KPL,14,6,1
BASE,Digital_KPL,14,6,2
BASE,Digital_KPL,14,6,3
BASE,Digital_KPL,14,6,4
BASE,Digital_KPL,14,6,5
BASE,Digital_KPL,14,7,1
BASE,Digital_KPL,14,7,2
BASE,Digital_KPL,14,7,3
BASE,Digital_KPL,14,7,4
BASE,Digital_KPL,14,7,5
BASE,Digital_KPL,14,8,1
BASE,Digital_KPL,14,8,2
BASE,Digital_KPL,14,8,3
BASE,Digital_KPL,14,8,4
BASE,Digital_KPL,14,8,5
BASE,Digital_KPL,14,9,1
BASE,Digital_KPL,14,9,2
BASE,Digital_KPL,14,9,3
BASE,Digital_KPL,14,9,4
BASE,Digital_KPL,14,9,5
BASE,Digital_KPL,14,10,1
BASE,Digital_KPL,14,10,2
BASE,Digital_KPL,14,10,3
BASE,Digital_KPL,14,10,4
BASE,Digital_KPL,14,10,5
BASE,Digital_KPL,14,11,1
BASE,Digital_KPL,14,11,2
BASE,Digital_KPL,14,11,3
BASE,Digital_KPL,14,11,4
BASE,Digital_KPL,14,11,5
BASE,Digital_KPL,14,12,1
BASE,Digital_KPL,14,12,2
BASE,Digital_KPL,14,12,3
BASE,Digital_KPL,14,12,4
BASE,Digital_KPL,14,12,5
